SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
5.0,hybrid,Adam,1.0,0.2,best_loss,0.99274,2.567741045838546e-05,-420.6341991936406,0.08410269841369458,0.9916320000000001,2.3280222792133823e-05,-426.5695106602923,0.06819650863539779
5.0,hybrid,Adam,1.0,0.2,best_acc,0.993026,1.887769967294908e-05,-395.1569314034377,0.06938236674846018,0.992088,2.1205250674128117e-05,-403.64547587768936,0.0674983270952462
5.0,hybrid_v2,Adam,0.0,0.0,best_loss,0.97708,0.0001486187577761554,-1801.2876836308344,1.495223284891563,0.9752620000000001,0.00017223877914523527,-1765.6643665748309,1.7489102617983432
5.0,hybrid_v2,Adam,0.0,0.0,best_acc,0.98469,7.579186939164604e-05,-1415.1865647250793,0.6158788873500455,0.985318,8.373552763174142e-05,-1405.1155449010146,0.7801880541127912
5.0,hybrid_v2,Adam,0.0,0.2,best_loss,0.9841580000000001,0.00010773655164553028,-1788.462511774377,0.9066929824201433,0.985274,0.00012497937164442872,-1802.160315744907,1.1149454052964285
5.0,hybrid_v2,Adam,0.0,0.2,best_acc,0.9856879999999998,9.05360878234372e-05,-1417.622447648833,0.7182100516838027,0.986036,0.00011010789777086384,-1429.585489749184,0.7607029514214185
5.0,hybrid_v2,Adam,0.5,0.0,best_loss,0.987532,0.00011286967182750944,-1881.4327470455894,1.3552258942287034,0.9890619999999999,8.799712626260679e-05,-1905.657179882194,0.8186692376494779
5.0,hybrid_v2,Adam,0.5,0.0,best_acc,0.9886539999999999,0.00011950483102663101,-1821.8370672530164,1.1773234815074312,0.991156,9.437278019226879e-05,-1859.2250727631772,0.819949399745002
5.0,hybrid_v2,Adam,0.5,0.2,best_loss,0.99115,6.400065582678742e-05,-1673.6604345703124,0.6787650946407899,0.991806,5.7819804241245245e-05,-1674.138757695065,0.5327985278669223
5.0,hybrid_v2,Adam,0.5,0.2,best_acc,0.991526,8.075331267710826e-05,-1647.226827377126,0.6735166126138311,0.9917520000000001,4.637599086166914e-05,-1638.2547554576245,0.5374004160382251
5.0,hybrid_v2,Adam,1.0,0.0,best_loss,0.9869800000000001,0.00013489807877290275,-1661.0668603979182,1.3322784266306873,0.986958,9.116203991369819e-05,-1657.0580672831475,1.040872740514577
5.0,hybrid_v2,Adam,1.0,0.0,best_acc,0.9877800000000001,7.486187258352471e-05,-1465.717691526775,0.822812498376066,0.9895040000000002,9.059432912108426e-05,-1486.3346465600894,0.7079448802316061
5.0,hybrid_v2,Adam,1.0,0.2,best_loss,0.9906159999999999,8.367054232247031e-05,-1430.0486600697193,0.7084171493380049,0.9938559999999999,8.615526956349805e-05,-1472.2896663308447,0.5994159984373852
5.0,hybrid_v2,Adam,1.0,0.2,best_acc,0.9915939999999999,7.29459936257107e-05,-1399.7102946066555,0.5336383008903114,0.9937679999999999,7.089011741153782e-05,-1425.8746695602997,0.5403069620482007
