lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.4,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7389777777777777,0.7111944444444445,0.7863722222222223,0.7873166666666667,0.8460666666666666,0.8211055555555555,0.8153055555555555,0.8669777777777777,0.6343166666666666,0.6043944444444445,0.6562444444444444,0.69315,0.9701722222222222,0.9706833333333333,0.9713,0.9743333333333334,0.9681944444444445,0.9784722222222222,0.9760555555555556,0.9785166666666667,0.9395166666666667,0.94985,0.9481611111111111,0.9534611111111111,1.0,0.0,1.0,0.0,0.7559652777777777,0.05954162368788296,0.8373638888888888,0.03791904280031349,0.6470263888888889,0.05947698821190955,0.9716222222222223,0.002968098692699545,0.9753097222222222,0.007766589659380558,0.9477472222222223,0.009413065652610226
0.4,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4766060606060606,0.4108191919191919,0.46566565656565656,0.5090343434343434,0.8460666666666666,0.8211055555555555,0.8153055555555555,0.8669777777777777,0.4575767676767677,0.3914010101010101,0.4420060606060606,0.4919131313131313,0.9898141414141414,0.9919757575757576,0.989680808080808,0.9934383838383838,0.9838111111111111,0.9926555555555555,0.991450505050505,0.9929979797979798,0.9739141414141415,0.984770707070707,0.9813050505050505,0.9865585858585859,1.0,0.0,1.0,0.0,0.46553131313131313,0.06501724257763405,0.8373638888888888,0.03791904280031349,0.44572424242424247,0.06649418177176629,0.9912272727272726,0.002881495993740806,0.9902287878787879,0.006889389451533404,0.9816371212121213,0.00889733591453538
0.4,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8166888888888889,0.8529777777777777,0.8983222222222222,0.8918555555555555,0.9566666666666667,0.9636,0.9556777777777777,0.9803333333333333,0.7821777777777777,0.8213333333333334,0.8585444444444444,0.8742555555555556,0.9735444444444444,0.9704111111111111,0.9732,0.9758666666666667,0.9744444444444444,0.9761666666666666,0.9745111111111111,0.9765666666666667,0.9488333333333333,0.9472444444444444,0.9484111111111111,0.9530333333333333,1.0,0.0,1.0,0.0,0.8649611111111111,0.060313323175439304,0.9640694444444444,0.01814170369518427,0.8340777777777778,0.0654074818544571,0.9732555555555555,0.0035575266851048367,0.9754222222222222,0.0017551904155947901,0.9493805555555556,0.004019744940875166
0.4,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6612666666666667,0.5694111111111111,0.6744222222222223,0.6827777777777778,0.7354666666666667,0.6786111111111112,0.6749333333333334,0.7536222222222222,0.48645555555555553,0.38745555555555555,0.45394444444444443,0.5120444444444444,0.9668,0.9709555555555556,0.9694,0.9728,0.9619444444444445,0.9807777777777777,0.9776,0.9804666666666667,0.9302,0.9524555555555556,0.9479111111111111,0.9538888888888889,1.0,0.0,1.0,0.0,0.6469694444444445,0.08347274856726625,0.7106583333333334,0.06341411394786625,0.459975,0.08572880828457435,0.9699888888888889,0.004041476323594947,0.9751972222222223,0.014241791086231354,0.9461138888888889,0.017361822824312263
0.4,both,2,810000,1.0,1.0,1.0,1.0,,,,,0.41830123456790125,0.3440691358024691,0.39439753086419754,0.44719382716049383,,,,,0.41830123456790125,0.3440691358024691,0.39439753086419754,0.44719382716049383,0.994179012345679,0.9967074074074074,0.9937654320987654,0.997683950617284,0.9872814814814814,0.9958074074074074,0.9948716049382716,0.996216049382716,0.981558024691358,0.9925308641975309,0.9886703703703704,0.9939135802469136,1.0,0.0,,0.0,0.40099043209876545,0.06946873972524992,,0.0,0.40099043209876545,0.06946873972524992,0.9955839506172839,0.003040446241743063,0.9935441358024691,0.006703598221057121,0.9891682098765432,0.008811255871092433
0.6,AGGREGATE_1_INTERVENTION,1,180000,0.9996,0.9997055555555555,0.9996111111111111,0.9996944444444444,1.0,1.0,1.0,1.0,0.8741333333333333,0.8723,0.9089666666666667,0.9332611111111111,0.9315722222222222,0.9169888888888889,0.9187444444444445,0.9583777777777778,0.81545,0.8022722222222223,0.8368388888888889,0.8947666666666667,0.9574555555555555,0.9562277777777778,0.9583333333333334,0.9616944444444444,0.9511277777777778,0.9618666666666666,0.96145,0.9644777777777778,0.9105611111111112,0.9196222222222222,0.9212888888888889,0.9275055555555556,0.9996527777777777,8.736385048993501e-05,1.0,0.0,0.8971652777777779,0.04676260282299695,0.9314208333333334,0.030409597357846565,0.8373319444444445,0.0650068315468861,0.9584277777777778,0.003727817010823798,0.9597305555555555,0.009371721901942073,0.9197444444444445,0.011137376305587456
0.6,ALL,ALL,990000,0.9992727272727273,0.9994646464646465,0.9992929292929293,0.9994444444444445,1.0,1.0,1.0,1.0,0.7589737373737374,0.7170151515151515,0.7761474747474747,0.8491383838383838,0.9315722222222222,0.9169888888888889,0.9187444444444445,0.9583777777777778,0.7483040404040404,0.7042828282828283,0.7630333333333333,0.842139393939394,0.9661868686868686,0.9717242424242424,0.9693555555555555,0.9761898989898989,0.9552090909090909,0.9701313131313132,0.9705656565656565,0.9731737373737374,0.9229464646464647,0.942729292929293,0.9408161616161617,0.9501171717171717,0.9993686868686869,0.00015884336452722772,1.0,0.0,0.7753186868686868,0.08771712540742345,0.9314208333333334,0.030409597357846565,0.7644398989898991,0.09149385087722521,0.9708641414141415,0.006704331244186747,0.9672699494949495,0.012971742103811612,0.9391522727272728,0.01833755701609096
0.6,attr0,1,90000,0.9996,0.9997222222222222,0.9996888888888888,0.9998,1.0,1.0,1.0,1.0,0.8684111111111111,0.9028777777777778,0.9336222222222222,0.9393777777777778,0.9769555555555556,0.9813444444444445,0.9758666666666667,0.9926,0.8493222222222222,0.886,0.9113444444444444,0.9324666666666667,0.9423111111111111,0.9397444444444445,0.9442777777777778,0.9478333333333333,0.9751333333333333,0.9760666666666666,0.9752888888888889,0.9767111111111111,0.9190555555555555,0.9171333333333334,0.9210111111111111,0.9260222222222222,0.9997027777777777,0.00013181379801113807,1.0,0.0,0.9110722222222222,0.05194335311732675,0.9816916666666666,0.012169603960789532,0.8947833333333333,0.05691571577946519,0.9435416666666667,0.0054267806491913526,0.9758,0.0011645730144864235,0.9208055555555555,0.006080303618386401
0.6,attr1,1,90000,0.9996,0.9996888888888888,0.9995333333333334,0.9995888888888889,1.0,1.0,1.0,1.0,0.8798555555555555,0.8417222222222223,0.8843111111111112,0.9271444444444444,0.8861888888888889,0.8526333333333334,0.8616222222222222,0.9241555555555555,0.7815777777777778,0.7185444444444444,0.7623333333333333,0.8570666666666666,0.9726,0.9727111111111111,0.9723888888888889,0.9755555555555555,0.9271222222222222,0.9476666666666667,0.9476111111111111,0.9522444444444444,0.9020666666666667,0.9221111111111111,0.9215666666666666,0.9289888888888889,0.9996027777777778,0.00010245908658342533,1.0,0.0,0.8832583333333334,0.05560884042159634,0.88115,0.05089761000533952,0.7798805555555555,0.09200976352652707,0.9733138888888888,0.0023874840081261578,0.9436611111111111,0.017881634809749886,0.9186833333333333,0.018428474579459765
0.6,both,2,810000,0.9992,0.9994111111111111,0.9992222222222222,0.9993888888888889,,,,,0.7333827160493828,0.6825074074074075,0.7466320987654321,0.8304444444444444,,,,,0.7333827160493828,0.6825074074074075,0.7466320987654321,0.8304444444444444,0.9681271604938272,0.9751679012345679,0.971804938271605,0.9794111111111111,0.9561160493827161,0.9719679012345679,0.9725913580246913,0.9751061728395062,0.9256987654320987,0.9478641975308641,0.9451555555555555,0.955141975308642,0.9993055555555556,0.00017472770097998324,,0.0,0.7482416666666667,0.09766562794747441,,0.0,0.7482416666666667,0.09766562794747441,0.9736277777777778,0.0076532407564252865,0.9689453703703703,0.013779658171565257,0.9434651234567901,0.02000562126150026
