SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_acc,0.949332,0.0002637058802996268,-3165.6687672443622,0.4421230490183668,0.946354,0.0002932293944034833,-3148.2524396138256,0.34790693977966525
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_loss,0.9432039999999999,0.00028679265152770176,-4653.680645396558,0.38466984067536786,0.9504220000000001,0.00028755776466759186,-4657.526425534019,0.3162840447999723
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_acc,0.9551259999999999,0.000323719239076322,-4098.061661392406,0.41583842443568525,0.9614579999999999,0.00026387146956641857,-4093.7984449169294,0.4467951802150348
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_loss,0.948508,0.00026923594440134526,-4541.814977131131,0.3347083540318848,0.955176,0.0003009607206786597,-4543.410728837025,0.3080237212338652
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_acc,0.9552799999999999,0.00027295461726610504,-4274.392375333762,0.44764550949155335,0.9605020000000001,0.0003009021124354175,-4268.040928105222,0.40391499429830113
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_loss,0.9753060000000001,0.00023904896871339366,-4598.153963731211,0.3947861157828862,0.9798619999999998,0.00022582183992107997,-4597.713055775316,0.3431425300565047
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_acc,0.9766099999999999,0.0002565332659147406,-4532.978663469145,0.42533400558874757,0.979812,0.00019961110884693403,-4522.244573155656,0.33638598219680954
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_loss,0.9751420000000002,0.00023875090427230005,-4622.492761694027,0.3793614319294431,0.9794800000000001,0.000280754039522666,-4611.969459923853,0.3425625197025915
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_acc,0.9768399999999999,0.00019972338164280307,-4427.49955819818,0.4050607753227612,0.9808999999999999,0.0002311680092619299,-4416.3665123121045,0.3381818606792162
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_loss,0.975966,0.00017468284019884258,-4526.081781052216,0.39852039080937024,0.9797180000000002,0.000237129877669727,-4515.058274574762,0.3566971980241761
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_acc,0.976198,0.00024084055927266863,-4301.159873417721,0.32766062811034863,0.980704,0.00022125525953960585,-4289.8843771014635,0.24681064974685615
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_loss,0.976944,0.0002024415899291698,-4667.906122181567,0.2836831815530019,0.980856,0.00017004960796609218,-4659.015297418909,0.31711275145189904
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_acc,0.9770840000000001,0.0002110676892125152,-4528.046454336431,0.3238417100964224,0.98226,0.00021375576708922934,-4518.920275291733,0.3709850610117343
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,0.980274,0.00022770593821399041,-4589.771217118276,0.36919875480739406,0.9813980000000001,0.0001915068370760469,-4571.386953248615,0.3438657149768279
